"lat","lon","cell_id","year","biomass"
33.8906104419828,-120.119801319987,1,2010,108
33.890635071672,-120.118829436233,2,2010,108
33.8906432798683,-120.11850547472,3,2010,148
33.8908888229377,-120.119487203932,8,2010,148
33.8909052420468,-120.118839279261,10,2010,141
33.8909134503262,-120.118515316729,11,2010,206
33.8909216577555,-120.118191354066,12,2010,272
33.8909298643348,-120.117867391272,13,2010,272
33.8909380700639,-120.117543428346,14,2010,174
33.8911179300668,-120.121116863599,22,2010,95
33.8911343578431,-120.120468938204,24,2010,174
33.8911425704561,-120.12014497531,25,2010,167
33.8911589931318,-120.119497049127,27,2010,148
33.8911672031945,-120.119173085839,28,2010,187
33.8911754124072,-120.11884912242,29,2010,187
33.8911836207697,-120.11852515887,30,2010,187
33.8911918282822,-120.118201195188,31,2010,180
33.8912000349445,-120.117877231375,32,2010,245
33.891355800009,-120.111721894037,41,2010,210
33.8913639896691,-120.111397927604,43,2010,173
33.891396314227,-120.120802750368,50,2010,233
33.8913967398085,-120.110102060565,51,2010,173
33.8914045277733,-120.120478786586,52,2010,238
33.8914127404695,-120.120154822674,53,2010,121
33.8914291633115,-120.119506894454,55,2010,174
33.8914373734574,-120.119182930148,56,2010,213
33.8914455827532,-120.11885896571,57,2010,206
33.8915358288997,-120.115295348242,61,2010,174
33.8915522262385,-120.11464741609,63,2010,148
33.8916177815889,-120.112055682241,73,2010,225
33.891625972182,-120.111731714921,75,2010,232
33.8916341619252,-120.11140774747,77,2010,181
33.89165826958,-120.121136564568,82,2010,452
33.8916664840596,-120.1208125999,84,2010,220
33.8916746976891,-120.1204886351,86,2010,586
33.8916829104684,-120.120164670168,88,2010,612
33.8916911223977,-120.119840705106,90,2010,436
33.8916993334769,-120.119516739912,92,2010,452
33.8917075437059,-120.119192774587,94,2010,379
33.8918544699951,-120.124062100526,108,2010,270
33.8918626922088,-120.123738136021,110,2010,607
33.8918709135725,-120.123414171384,112,2010,439
33.8918715697618,-120.11271344056,113,2010,298
33.891879134086,-120.123090206616,114,2010,182
33.8918797621383,-120.112389472483,115,2010,324
33.8918879536646,-120.112065504275,117,2010,239
33.8918955725628,-120.122442276686,118,2010,212
33.8918961443408,-120.111741535937,119,2010,210
33.891903790526,-120.122118311524,120,2010,188
33.8919043341668,-120.111417567467,121,2010,188
33.8919120076391,-120.12179434623,122,2010,182
33.8919202239022,-120.121470380806,124,2010,336
33.891928439315,-120.12114641525,126,2010,853
33.8919366538778,-120.120822449563,128,2010,964
33.8919448675905,-120.120498483744,130,2010,996
33.8919530804531,-120.120174517795,132,2010,1085
33.8919612924655,-120.119850551714,134,2010,1133
33.8919695036278,-120.119526585502,136,2010,1136
33.89197771394,-120.119202619158,138,2010,826
33.8919859234021,-120.118878652684,140,2010,688
33.891994132014,-120.118554686078,142,2010,491
33.8920023397759,-120.118230719341,144,2010,274
33.8921164158193,-120.124395925897,156,2010,207
33.8921246389665,-120.124071960505,157,2010,1110
33.8921328612635,-120.123747994981,158,2010,1132
33.8921410827104,-120.123424029326,160,2010,1000
33.8921417416572,-120.112723264762,161,2010,291
33.8921493033073,-120.123100063539,162,2010,1040
33.892157523054,-120.122776097621,164,2010,844
33.8921657419505,-120.122452131572,166,2010,918
33.892173959997,-120.122128165392,168,2010,1220
33.8921821771934,-120.12180419908,170,2010,2680
33.892182695453,-120.111103417976,171,2010,195
33.8921903935396,-120.121480232637,172,2010,1842
33.8921986090357,-120.121156266063,174,2010,2024
33.8922068236817,-120.120832299357,176,2010,2136
33.8922150374775,-120.12050833252,178,2010,2053
33.8922232504232,-120.120184365552,180,2010,1542
33.8922236279949,-120.10948356792,181,2010,195
33.8922314625189,-120.119860398453,182,2010,2046
33.8922396737644,-120.119536431222,184,2010,1690
33.8922399950607,-120.108835626982,185,2010,115
33.8922478841597,-120.11921246386,186,2010,1166
33.8922560937049,-120.118888496367,188,2010,835
33.8922643024,-120.118564528743,190,2010,722
33.892272510245,-120.118240560988,192,2010,304
33.8922807172398,-120.117916593102,194,2010,232
33.892329941356,-120.11597278303,204,2010,224
33.8923381423999,-120.115648814226,205,2010,175
33.8923619099011,-120.125377685469,207,2010,148
33.8923701356818,-120.125053719453,208,2010,200
33.8923783606125,-120.124729753305,209,2010,219
33.8923865846931,-120.124405787025,210,2010,590
33.8923948079235,-120.124081820614,212,2010,902
33.8924030303039,-120.123757854072,214,2010,769
33.892411251834,-120.123433887399,215,2010,1512
33.8924194725141,-120.123109920594,216,2010,1986
33.892427692344,-120.122785953658,218,2010,1700
33.8924359113239,-120.12246198659,220,2010,1701
33.8924441294536,-120.122138019391,222,2010,1716
33.8924523467332,-120.121814052061,224,2010,1543
33.8924528677488,-120.111113237217,225,2010,313
33.8924605631626,-120.121490084599,226,2010,2991
33.8924610560405,-120.110789266449,227,2010,247
33.8924687787419,-120.121166117006,228,2010,2552
33.8924692434819,-120.11046529555,229,2010,210
33.8924769934711,-120.120842149282,230,2010,2086
33.8924774300733,-120.11014132452,231,2010,210
33.8924852073502,-120.120518181427,232,2010,1865
33.8924856158144,-120.109817353359,233,2010,210
33.8924934203791,-120.12019421344,234,2010,1710
33.8924938007054,-120.109493382068,235,2010,151
33.8925016325578,-120.119870245323,236,2010,1803
33.8925098438865,-120.119546277074,238,2010,1631
33.892518054365,-120.119222308693,240,2010,1012
33.8925262639934,-120.118898340182,242,2010,986
33.8925344727716,-120.118574371539,244,2010,926
33.8925426806997,-120.118250402766,246,2010,717
33.8925508877777,-120.117926433861,248,2010,294
33.8925590940055,-120.117602464825,250,2010,248
