"lat","lon","cell_id","year","biomass"
33.8914209523156,-120.11983085863,54,2015,307
33.8914291633115,-120.119506894454,55,2015,282
33.8916664840596,-120.1208125999,84,2015,420
33.8916746976891,-120.1204886351,86,2015,361
33.8916993334769,-120.119516739912,92,2015,341
33.8919366538778,-120.120822449563,128,2015,376
33.8919695036278,-120.119526585502,136,2015,356
33.89197771394,-120.119202619158,138,2015,657
33.8919859234021,-120.118878652684,140,2015,586
33.891994132014,-120.118554686078,142,2015,635
33.8920023397759,-120.118230719341,144,2015,1181
33.8920105466876,-120.117906752473,146,2015,239
33.8920187527492,-120.117582785474,148,2015,320
33.8921246389665,-120.124071960505,157,2015,347
33.8921328612635,-120.123747994981,158,2015,427
33.8921410827104,-120.123424029326,160,2015,796
33.8921493033073,-120.123100063539,162,2015,391
33.892173959997,-120.122128165392,168,2015,361
33.8921986090357,-120.121156266063,174,2015,332
33.8922068236817,-120.120832299357,176,2015,317
33.8922314625189,-120.119860398453,182,2015,310
33.8922396737644,-120.119536431222,184,2015,616
33.8922478841597,-120.11921246386,186,2015,746
33.8922560937049,-120.118888496367,188,2015,552
33.8922643024,-120.118564528743,190,2015,632
33.892272510245,-120.118240560988,192,2015,817
33.8922889233845,-120.117592625084,196,2015,239
33.8922971286791,-120.117268656935,198,2015,606
33.892321739462,-120.116296751703,202,2015,193
33.892329941356,-120.11597278303,204,2015,370
33.8923381423999,-120.115648814226,205,2015,899
33.8923865846931,-120.124405787025,210,2015,413
33.8923948079235,-120.124081820614,212,2015,433
33.8924030303039,-120.123757854072,214,2015,472
33.892411251834,-120.123433887399,215,2015,248
33.892427692344,-120.122785953658,218,2015,190
33.8924359113239,-120.12246198659,220,2015,258
33.8924441294536,-120.122138019391,222,2015,315
33.8924934203791,-120.12019421344,234,2015,332
33.8925016325578,-120.119870245323,236,2015,332
33.8925098438865,-120.119546277074,238,2015,588
33.892518054365,-120.119222308693,240,2015,367
33.8925262639934,-120.118898340182,242,2015,362
33.8925344727716,-120.118574371539,244,2015,414
33.8925426806997,-120.118250402766,246,2015,620
33.8925508877777,-120.117926433861,248,2015,250
33.8925590940055,-120.117602464825,250,2015,493
33.8925672993832,-120.117278495658,252,2015,952
33.8925755039107,-120.11695452636,254,2015,144
33.8925837075881,-120.11663055693,256,2015,239
33.8925919104153,-120.11630658737,258,2015,784
33.8926001123924,-120.115982617678,260,2015,812
33.8926083135194,-120.115658647856,263,2015,855
33.8926165137962,-120.115334677902,265,2015,470
33.8926567535524,-120.124415648285,272,2015,156
33.8926649768662,-120.124091680856,274,2015,326
33.8926731993297,-120.123767713295,276,2015,480
33.8926814209432,-120.123443745603,277,2015,148
33.8926896417066,-120.12311977778,278,2015,737
33.8926978616198,-120.122795809825,279,2015,810
33.8927060806828,-120.122471841739,281,2015,974
33.8927142988958,-120.122147873522,283,2015,1276
33.8927225162586,-120.121823905173,285,2015,385
33.8927307327712,-120.121499936693,287,2015,405
33.8927389484337,-120.121175968082,289,2015,415
33.8927471632461,-120.120851999339,291,2015,514
33.8927553772084,-120.120528030465,293,2015,408
33.8927635903205,-120.12020406146,295,2015,156
33.8927718025825,-120.119880092324,297,2015,181
33.8927800139942,-120.119556123057,299,2015,173
33.8927964342675,-120.118908184128,303,2015,461
33.8928046431288,-120.118584214467,305,2015,726
33.8928128511401,-120.118260244675,307,2015,778
33.8928210583011,-120.117936274751,309,2015,723
33.8928292646121,-120.117612304697,311,2015,698
33.8928374700729,-120.117288334511,313,2015,188
33.892853878444,-120.116640393747,316,2015,225
33.8928620813543,-120.116316423168,318,2015,440
33.8928702834144,-120.115992452458,320,2015,396
33.8928784846245,-120.115668481617,323,2015,622
33.8929030831535,-120.114696568308,326,2015,298
33.8929112809629,-120.114372596943,328,2015,776
33.8929194779221,-120.114048625447,330,2015,628
33.8929276740311,-120.11372465382,332,2015,180
33.8929351457944,-120.124101541228,333,2015,754
33.89293586929,-120.113400682062,334,2015,422
33.8929433683413,-120.123777572649,335,2015,245
33.892951590038,-120.123453603939,337,2015,405
33.8929598108846,-120.123129635097,338,2015,663
33.8929680308811,-120.122805666124,340,2015,940
33.8929762500274,-120.122481697019,342,2015,890
33.8929844683236,-120.122157727783,344,2015,564
33.8930091181112,-120.121185819288,350,2015,375
33.8930173330068,-120.120861849527,352,2015,684
33.8930255470522,-120.120537879635,354,2015,366
33.8930337602475,-120.120213909611,356,2015,455
33.8930419725926,-120.119889939457,358,2015,455
33.8930501840876,-120.119565969171,360,2015,198
33.8930748134717,-120.118594057526,366,2015,531
33.893083021566,-120.118270086715,368,2015,855
33.8930912288103,-120.117946115773,370,2015,366
33.8930994352043,-120.1176221447,372,2015,450
33.8931076407482,-120.117298173496,374,2015,282
33.8931404544221,-120.116002287369,380,2015,137
33.8931486557152,-120.115678315509,383,2015,217
33.8931568561581,-120.115354343519,385,2015,188
33.8931814523857,-120.114382426761,389,2015,190
33.893189649428,-120.114058454246,391,2015,194
33.8931978456201,-120.113734481601,393,2015,575
33.8932053147083,-120.124111401732,394,2015,695
33.8932060409619,-120.113410508824,395,2015,562
33.8932135373384,-120.123787432135,396,2015,139
33.8932217591184,-120.123463462406,398,2015,348
33.8932224290952,-120.112762562878,399,2015,181
33.8932299800483,-120.123139492546,400,2015,672
33.8932306218865,-120.112438589709,401,2015,662
33.893238200128,-120.122815522554,402,2015,919
33.8932388138277,-120.112114616409,403,2015,1119
33.8932464193575,-120.122491552431,404,2015,782
33.893254637737,-120.122167582177,406,2015,372
33.8932710719453,-120.121519641274,409,2015,173
