"lat","lon","biomass"
34.0037110769412,-120.25283391215,231
33.997845431947,-120.249688209991,290
33.9978540078572,-120.249363883418,580
34.0043628843579,-120.248637971417,482
34.0046330155871,-120.248648267654,567
34.0049031468016,-120.248658564028,707
34.0051732780015,-120.248668860539,578
34.0054434091868,-120.248679157188,613
34.0057135403575,-120.248689453973,383
34.0046415902519,-120.248323914947,932
34.0049117215531,-120.248334210297,2171
34.0051818528398,-120.248344505784,1478
34.0054519841117,-120.248354801409,1161
34.0057221153691,-120.248365097171,360
34.0046501640634,-120.247999562102,678
34.0049202954513,-120.248009856429,1193
34.0051904268246,-120.248020150892,719
34.0054605581832,-120.248030445493,672
34.0057306895273,-120.248040740232,324
34.0046587370214,-120.24767520912,521
34.004928868496,-120.247685502423,501
34.0054862752775,-120.247057376924,273
33.9942178071616,-120.243706424395,629
33.9944964995876,-120.24339238536,212
33.9966575637353,-120.243474595728,172
33.996927696688,-120.24348487264,221
33.9945050581628,-120.243068069484,1232
33.994775191319,-120.243078344278,1115
33.9966661230029,-120.243150271667,212
33.9969362560421,-120.243160547556,221
33.994513615885,-120.242743753472,599
33.9947837491276,-120.242754027243,870
33.9950538823557,-120.24276430115,619
33.9964045482769,-120.242815672741,202
33.9966746814174,-120.242825947469,202
33.9966832389787,-120.242501623135,202
33.996953372191,-120.242511896977,212
33.9972235053887,-120.242522170957,260
33.9956112623454,-120.242136208756,329
33.9958813957027,-120.242146481027,192
33.9969619289857,-120.242187571483,202
33.995079550923,-120.241791346154,407
33.995349684396,-120.241801617128,795
33.9956198178545,-120.24181188824,349
33.9958899512983,-120.241822159489,821
33.9961600847275,-120.241832430874,619
33.9940075710216,-120.241425949108,319
33.9942777046396,-120.241436218513,511
33.994547838243,-120.241446488054,658
33.9948179718318,-120.241456757733,339
33.995088105406,-120.241467027548,319
33.9953582389655,-120.241477297499,241
33.9945563916999,-120.241122171358,427
33.9953667926819,-120.241152977734,560
33.9956369263133,-120.241163246799,251
33.9942948105274,-120.24078758703,260
33.9945649443037,-120.240797854525,687
33.9948350780655,-120.240808122157,590
33.9953753455451,-120.240828657831,687
33.9956454792631,-120.240838925873,717
33.9959156129664,-120.240849194052,163
33.9945734960545,-120.240473537555,590
33.9948436299027,-120.240483804164,1075
33.9913917198447,-120.238080212234,300
33.9917216443915,-120.235820319502,231
33.991241120824,-120.233529675438,277
34.010480478028,-120.231986634122,383
34.0107591455471,-120.231672498675,712
33.988886646559,-120.230518809307,339
33.9891567833186,-120.230529042221,1163
33.9894269200637,-120.230539275272,407
33.9891653068137,-120.230204742502,388
33.9894354436449,-120.23021497453,368
33.9851643678981,-120.228105569306,850
33.9865406030192,-120.227183818163,300
33.986549117124,-120.22685952731,319
33.982235421596,-120.226371744197,202
33.9825055597541,-120.226381961433,251
33.9801083520222,-120.224992944053,423
33.9803869976499,-120.224678887961,309
33.9779727586893,-120.223938475232,300
33.9779812623658,-120.223614215876,349
33.9726124770079,-120.222113149811,251
33.978015268546,-120.222317177092,590
33.9747820927049,-120.221870506432,221
33.9780237679597,-120.221992917056,1124
33.9782939074694,-120.222003118825,358
34.0193549433888,-120.22355536898,219
33.9747905902344,-120.221546258528,570
33.9750607300051,-120.221556457643,609
33.9753308697613,-120.221566656895,407
33.9783024061164,-120.221678857631,736
33.9810038012723,-120.221780872568,697
33.9729081075069,-120.221150627637,202
33.9731782474655,-120.221160824779,590
33.9734483874096,-120.221171022058,300
33.9747990869115,-120.221222010487,599
33.9750692267681,-120.221232208581,1036
33.9753393666102,-120.22124240681,378
33.9772303450965,-120.22131379822,329
34.0120782492992,-120.222630632393,329
33.9729166027299,-120.220826386616,958
