"site","date","day_avg_temp"
"Arroyo Burro",2002-12-12,15.3677083333333
"Arroyo Burro",2002-12-13,15.5357638888889
"Arroyo Burro",2002-12-14,15.5642361111111
"Arroyo Burro",2002-12-15,15.5755555555556
"Arroyo Burro",2002-12-16,15.5795833333333
"Arroyo Burro",2002-12-17,15.5376388888889
"Arroyo Burro",2002-12-18,14.4043055555556
"Arroyo Burro",2002-12-19,13.5370833333333
"Arroyo Burro",2002-12-20,13.6864583333333
"Arroyo Burro",2002-12-21,13.7497222222222
"Arroyo Burro",2002-12-22,13.7951388888889
"Arroyo Burro",2002-12-23,13.7460416666667
"Arroyo Burro",2002-12-24,13.9319444444444
"Arroyo Burro",2002-12-25,14.5229166666667
"Arroyo Burro",2002-12-26,14.7667361111111
"Arroyo Burro",2002-12-27,14.8079166666667
"Arroyo Burro",2002-12-28,14.7724305555556
"Arroyo Burro",2002-12-29,14.4045833333333
"Arroyo Burro",2002-12-30,14.2786805555556
"Arroyo Burro",2002-12-31,14.6238888888889
"Arroyo Burro",2003-01-01,14.5283333333333
"Arroyo Burro",2003-01-02,14.5065972222222
"Arroyo Burro",2003-01-03,14.4891666666667
"Arroyo Burro",2003-01-04,14.5465277777778
"Arroyo Burro",2003-01-05,14.6538194444444
"Arroyo Burro",2003-01-06,14.6234722222222
"Arroyo Burro",2003-01-07,14.610625
"Arroyo Burro",2003-01-08,14.65
"Arroyo Burro",2003-01-09,14.6827777777778
"Arroyo Burro",2003-01-10,14.73
"Arroyo Burro",2003-01-11,14.73
"Arroyo Burro",2003-01-12,14.759375
"Arroyo Burro",2003-01-13,14.7825
"Arroyo Burro",2003-01-14,14.9182638888889
"Arroyo Burro",2003-01-15,15.2143055555556
"Arroyo Burro",2003-01-16,15.2520138888889
"Arroyo Burro",2003-01-17,15.3164583333333
"Arroyo Burro",2003-01-18,15.0578472222222
"Arroyo Burro",2003-01-19,14.908125
"Arroyo Burro",2003-01-20,15.0397916666667
"Arroyo Burro",2003-01-21,15.2515277777778
"Arroyo Burro",2003-01-22,15.3938888888889
"Arroyo Burro",2003-01-23,15.4080555555556
"Arroyo Burro",2003-01-24,15.390625
"Arroyo Burro",2003-01-25,15.32625
"Arroyo Burro",2003-01-26,15.3176388888889
"Arroyo Burro",2003-01-27,15.1735416666667
"Arroyo Burro",2003-01-28,15.2324305555556
"Arroyo Burro",2003-01-29,15.2650694444444
"Arroyo Burro",2003-01-30,15.3169444444444
"Arroyo Burro",2003-01-31,15.3120138888889
"Arroyo Burro",2003-02-01,15.3590972222222
"Arroyo Burro",2003-02-02,15.2323611111111
"Arroyo Burro",2003-02-03,14.7868055555556
"Arroyo Burro",2003-02-04,14.9022916666667
"Arroyo Burro",2003-02-05,14.9244444444444
"Arroyo Burro",2003-02-06,14.9802777777778
"Arroyo Burro",2003-02-07,15.0097916666667
"Arroyo Burro",2003-02-08,14.7890972222222
"Arroyo Burro",2003-02-09,14.9131944444444
"Arroyo Burro",2003-02-10,14.9764583333333
"Arroyo Burro",2003-02-11,14.8059722222222
"Arroyo Burro",2003-02-12,14.82375
"Arroyo Burro",2003-02-13,14.91
"Arroyo Burro",2003-02-14,14.9693055555556
"Arroyo Burro",2003-02-15,15.0763888888889
"Arroyo Burro",2003-02-16,15.100625
"Arroyo Burro",2003-02-17,15.1509722222222
"Arroyo Burro",2003-02-18,15.35375
"Arroyo Burro",2003-02-19,15.2973611111111
"Arroyo Burro",2003-02-20,14.4754166666667
"Arroyo Burro",2003-02-21,14.605
"Arroyo Burro",2003-02-22,14.7209027777778
"Arroyo Burro",2003-02-23,14.9240277777778
"Arroyo Burro",2003-02-24,15.0525
"Arroyo Burro",2003-02-25,14.9877083333333
"Arroyo Burro",2003-02-26,14.9478472222222
"Arroyo Burro",2003-02-27,14.6706944444444
"Arroyo Burro",2003-02-28,13.9778472222222
"Arroyo Burro",2003-03-01,13.9629166666667
"Arroyo Burro",2003-03-02,14.0110416666667
"Arroyo Burro",2003-03-03,14.0459027777778
